Id,R,Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au,Season,MvH,FvH,MvH_Classification,FvH_Classification
4312,P,MAIGNAN,Milan,3,6.0,5.33,0,2,0,0,0,0,0,0,0,0,2023-24,6.122999999999999,5.365,A,B
572,P,MERET,Napoli,3,5.83,4.83,0,3,0,0,0,0,0,0,0,0,2023-24,6.166500000000001,5.3055,A,B
2428,P,SOMMER,Inter,3,6.0,6.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.0,6.0,B,A
453,P,SZCZESNY,Juventus,1,7.0,7.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.185999999999999,5.537999999999999,A,A
2814,P,PROVEDEL,Lazio,3,6.17,4.83,0,4,0,0,0,0,0,0,0,0,2023-24,6.1145000000000005,4.416,A,D
4270,P,RUI PATRICIO,Roma,3,5.67,3.67,0,6,0,0,0,0,0,0,0,0,2023-24,5.917999999999999,4.652,B,D
5876,P,DI GREGORIO,Monza,3,6.5,4.83,0,5,0,0,0,0,0,0,0,0,2023-24,6.478000000000001,4.846,A,C
133,P,SKORUPSKI,Bologna,3,6.17,4.83,0,4,0,0,0,0,0,0,0,0,2023-24,6.1690000000000005,4.8745,A,C
2170,P,MILINKOVIC-SAVIC V.,Torino,3,6.0,4.5,0,4,0,0,0,0,0,1,0,0,2023-24,5.8525,4.0815,B,D
2815,P,TERRACCIANO,Fiorentina,1,6.0,5.0,0,1,0,0,0,0,0,0,0,0,2023-24,6.139999999999999,5.3629999999999995,A,B
4431,P,CARNESECCHI,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.35,4.63,A,D
2134,P,FALCONE,Lecce,3,6.5,5.5,0,3,0,0,0,0,0,0,0,0,2023-24,6.345,5.199,A,B
2211,P,SILVESTRI,Udinese,3,5.5,4.17,0,4,0,0,0,0,0,0,0,0,2023-24,6.1610000000000005,4.6015,A,D
6120,P,OCHOA,Salernitana,3,6.5,4.83,0,5,0,0,0,0,0,0,0,0,2023-24,6.498000000000001,4.8420000000000005,A,C
3,P,RADUNOVIC,Cagliari,3,5.67,4.33,0,4,0,0,0,0,0,0,0,0,2023-24,5.736,4.464,B,D
4957,P,MONTIPO',Verona,3,6.33,5.0,0,4,0,0,0,0,0,0,0,0,2023-24,6.141,4.657,A,D
5116,P,MARTINEZ JO.,Genoa,3,6.0,4.33,0,5,0,0,0,0,0,0,0,0,2023-24,6.0,4.33,B,D
4360,P,CAPRILE,Empoli,1,5.0,4.0,0,1,0,0,0,0,0,0,0,0,2023-24,5.0,4.0,C,D
509,P,CONSIGLI,Sassuolo,3,5.83,4.17,0,5,0,0,0,0,0,0,0,0,2023-24,6.235,4.776999999999999,A,D
2792,P,MUSSO,Atalanta,3,6.33,5.67,0,2,0,0,0,0,0,0,0,0,2023-24,6.158,4.8005,A,C
4867,P,TURATI,Frosinone,2,5.75,4.25,0,3,0,0,0,0,0,0,0,0,2023-24,5.75,4.25,B,D
218,P,PERIN,Juventus,2,6.0,5.5,0,1,0,0,0,0,0,0,0,0,2023-24,6.0785,5.051,B,B
316,P,BERISHA,Empoli,1,6.5,7.5,0,2,1,0,0,0,0,0,0,0,2023-24,6.097999999999999,5.305499999999999,B,B
2178,P,CRAGNO,Sassuolo,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.24,4.66,A,D
2294,P,CEROFOLINI,Frosinone,1,6.5,5.5,0,1,0,0,0,0,0,0,0,0,2023-24,6.460000000000001,5.5,A,A
6403,P,CHRISTENSEN O.,Fiorentina,2,5.75,2.75,0,6,0,0,0,0,0,0,0,0,2023-24,5.75,2.75,B,D
4,P,SPORTIELLO,Milan,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.158000000000001,4.666,A,D
41,P,MIRANTE,Milan,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.395,5.683999999999999,A,A
159,P,SEPE,Lazio,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.0915,4.547,B,D
188,P,LEALI,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,0.0,0.0,D,D
217,P,LAMANNA,Monza,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.5,5.5,A,A
219,P,SOMMARIVA,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,0.0,0.0,D,D
510,P,PEGOLO,Sassuolo,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.1,4.824999999999999,A,C
511,P,PERILLI,Verona,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.5,6.5,A,A
543,P,PADELLI,Udinese,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.1530000000000005,3.65,A,D
574,P,SCUFFET,Cagliari,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,5.733,4.135,B,D
610,P,GOLLINI,Napoli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.1525,5.2215,A,B
673,P,PERISAN,Empoli,1,5.0,3.0,0,2,0,0,0,0,0,0,0,0,2023-24,5.121,3.193,C,D
761,P,AUDERO,Inter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.269,4.884500000000001,A,C
1926,P,DI GENNARO,Inter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,0.0,0.0,D,D
1930,P,PINSOGLIO,Juventus,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,5.824999999999999,4.325,B,D
1946,P,ARESTI,Cagliari,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,0.0,0.0,D,D
1947,P,FIORILLO,Salernitana,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.0,3.7,B,D
2297,P,ROSSI F.,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,5.95,4.95,B,C
2338,P,COSTIL,Salernitana,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,0.0,0.0,D,D
2722,P,RAVAGLIA F.,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,5.88,3.38,B,D
2799,P,FRATTALI,Frosinone,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.5,4.5,A,D
2845,P,CONTINI,Napoli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,0.0,0.0,D,D
4351,P,BRANCOLINI,Lecce,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,0.0,0.0,D,D
4468,P,BLEVE,Lecce,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,0.0,0.0,D,D
4491,P,BERARDI A.,Verona,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.450000000000001,3.75,A,D
4525,P,GEMELLO,Torino,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.5,6.5,A,A
5304,P,BOER,Roma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,0.0,0.0,D,D
2130,D,HATEBOER,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.034,6.319,B,B
5502,P,ADAMONIS,Lazio,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,0.0,0.0,D,D
5707,P,PIANA,Udinese,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,0.0,0.0,D,D
5822,P,BAGNOLINI,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,0.0,0.0,D,D
5832,P,LUIS MAXIMIANO,Lazio,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,4.0,3.0,D,D
5841,P,SVILAR,Roma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,6.0,4.83,B,C
5853,P,SORRENTINO A.,Monza,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,0.0,0.0,D,D
6184,P,MARTINELLI T.,Fiorentina,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,0.0,0.0,D,D
6210,P,POPA,Torino,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,0.0,0.0,D,D
6234,P,STUBLJAR,Empoli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,0.0,0.0,D,D
6248,P,STANKOVIC F.,Inter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,0.0,0.0,D,D
